Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
SAR406_Cluster_782	214	52	18	89	97	102	157	8	578	13	314	4	26	406	184	74	81	244	124	294	47	91	135	27	9	31	6	50	59	229	125	227	256	282	104
SAR406_Cluster_260	218	80	15	81	126	100	138	6	570	7	306	3	26	276	169	58	76	198	136	179	66	90	148	23	15	25	4	36	45	286	164	206	207	200	89
SAR406_Cluster_640	198	79	13	76	99	113	140	14	481	13	269	3	25	312	146	37	85	157	97	204	50	79	126	21	9	31	4	49	38	158	84	200	213	286	87
SAR406_Cluster_783	134	35	10	47	69	73	93	5	419	12	170	3	10	233	124	43	55	103	79	175	34	66	85	19	11	26	1	37	31	161	77	171	178	196	91
SAR406_Cluster_183	106	50	9	60	69	75	83	2	313	13	161	1	16	190	72	29	29	74	59	97	25	66	53	8	7	17	2	24	17	128	59	96	108	129	65
SAR406_Cluster_468	51	36	6	27	31	65	69	4	237	3	129	1	9	159	39	20	44	55	41	112	39	92	90	22	31	35	6	52	44	33	38	83	86	45	42
SAR406_Cluster_187	71	44	6	29	65	54	55	4	177	3	108	0	5	114	30	18	18	46	30	58	39	60	71	11	14	30	8	44	38	72	49	68	72	34	34
SAR406_Cluster_302	78	61	4	47	80	21	32	4	117	3	192	1	2	47	80	15	9	17	19	61	33	45	72	29	17	38	2	20	26	82	50	79	53	53	25
SAR406_Cluster_781	63	16	0	12	29	45	35	1	186	3	94	1	9	112	49	21	27	72	44	86	18	34	49	2	4	6	3	16	23	45	47	66	63	91	36
SAR406_Cluster_293	66	38	4	41	62	18	37	0	98	4	153	2	1	26	38	10	11	22	20	43	29	45	64	11	14	35	3	32	21	50	51	74	58	38	17
SAR406_Cluster_294	64	48	1	33	84	16	33	3	107	2	146	1	1	36	27	14	10	23	22	32	35	40	68	25	17	37	3	19	26	66	43	67	36	23	23
SAR406_Cluster_493	43	19	4	9	23	40	38	1	162	6	69	7	4	91	15	12	20	46	30	32	10	22	33	2	0	5	1	11	8	10	12	45	61	30	23
