Contig_ID	S1_R1_001.masked	S2_R1_001.masked	S3_R1_001.masked	S4_R1_001.masked	S5_R1_001.masked	S6_R1_001.masked	S7_R1_001.masked	S8_R1_001.masked	S9_R1_001.masked	S10_R1_001.masked	S11_R1_001.masked	S12_R1_001.masked
Gene_1	2	0	1	5	5	1	1	1	0	5	2	2
Gene_2	0	1	3	7	1	2	3	1	3	3	3	4
Gene_3	0	4	4	11	3	13	4	7	7	3	4	6
Gene_4	1	2	2	7	1	1	6	3	3	7	3	2
Gene_5	2	1	0	4	5	1	2	2	0	0	1	6
Gene_6	1	4	1	2	1	6	2	2	0	2	8	5
Gene_7	0	0	0	2	5	2	3	1	2	4	2	6
Gene_8	5	2	2	3	4	2	8	5	4	6	1	2
Gene_9	1	3	4	8	1	5	2	1	1	6	3	4
Gene_10	3	3	8	29	2	1	0	1	6	4	1	3
Gene_11	2	4	3	6	2	3	1	1	3	8	2	7
Gene_12	3	15	3	6	2	5	6	9	5	4	1	1
Gene_13	6	3	2	7	10	1	2	1	4	1	1	2
Gene_14	2	7	2	2	7	1	1	3	4	4	3	6
Gene_15	0	0	7	5	6	1	1	0	2	2	0	5
Gene_16	0	2	1	4	6	1	0	0	1	7	3	1
Gene_17	2	3	1	6	5	1	4	7	3	2	0	2
Gene_18	0	0	3	4	0	4	5	4	1	3	3	1
Gene_19	3	4	0	1	3	6	5	2	0	3	1	1
Gene_20	6	11	9	27	18	8	10	6	6	15	9	11
Gene_21	1	0	0	0	0	0	2	4	8	0	2	7
Gene_22	0	1	0	1	2	2	0	2	2	6	3	7
Gene_23	3	1	1	11	3	0	1	4	0	4	2	1
Gene_24	6	0	5	7	3	2	3	0	4	1	1	8
Gene_25	4	1	1	1	1	0	0	5	4	2	3	2
Gene_26	0	2	3	7	1	0	0	0	6	5	0	3
Gene_27	6	4	4	16	7	1	5	2	3	5	4	1
Gene_28	1	6	7	11	0	2	5	5	9	6	0	0
Gene_29	5	2	5	5	1	1	1	6	8	9	6	3
Gene_30	1	1	6	0	2	2	2	3	2	1	2	3
Gene_31	5	3	2	9	4	7	13	3	6	9	2	4
Gene_32	7	4	6	7	5	7	4	6	9	5	0	6
Gene_33	6	6	0	4	9	14	7	13	2	5	15	15
Gene_34	7	5	4	2	1	9	1	5	5	3	1	4
Gene_35	1	3	3	19	5	1	12	2	4	11	1	3
Gene_36	3	2	1	2	6	3	3	5	2	3	0	2
Gene_37	11	3	0	2	3	3	0	0	0	1	0	11
Gene_38	2	1	1	2	5	5	0	1	3	5	2	4
Gene_39	4	1	0	5	1	4	1	0	1	1	1	5
Gene_40	2	3	7	1	0	5	9	2	3	5	2	5
Gene_41	4	2	1	3	2	2	3	1	0	4	3	2
Gene_42	3	9	2	6	7	31	0	7	4	1	13	1
Gene_43	0	1	1	9	0	0	2	1	1	6	2	1
Gene_44	1	1	0	6	7	3	3	0	0	7	1	2
Gene_45	1	4	1	2	5	3	6	0	1	2	1	2
Gene_46	0	8	4	11	14	29	9	13	22	4	19	4
Gene_47	8	4	8	7	14	8	2	14	6	6	4	8
Gene_48	1	6	8	1	0	3	3	3	7	6	1	4
Gene_49	16	18	37	35	35	10	20	22	24	20	10	3
Gene_50	3	5	4	3	0	6	1	1	4	4	3	10
Gene_51	1	0	3	12	0	0	3	3	4	2	0	1
Gene_52	1	7	6	14	0	5	9	6	4	1	0	1
Gene_53	5	1	1	13	2	2	2	1	3	1	1	0
Gene_54	0	10	5	8	1	0	2	0	4	4	0	0
Gene_55	4	3	5	4	0	0	4	3	5	5	0	2
Gene_56	0	2	5	8	0	0	4	2	5	1	0	0
Gene_57	0	1	7	10	0	0	0	0	14	3	0	1
Gene_58	10	10	1	9	0	6	5	6	3	2	0	4
Gene_59	8	11	19	22	5	0	7	12	24	18	0	0
Gene_60	3	6	4	16	4	3	4	6	16	4	0	3
Gene_61	1	0	4	8	5	0	2	2	2	3	1	1
Gene_62	47	8	10	27	27	56	41	12	4	30	29	39
Gene_63	0	7	8	1	0	0	3	9	3	0	1	0
Gene_64	3	5	2	13	1	6	6	2	1	3	2	7
Gene_65	4	18	48	50	1	6	7	8	38	27	1	0
Gene_66	5	16	6	17	11	0	1	3	11	3	0	4
Gene_67	0	1	19	12	0	0	0	6	10	0	0	0
Gene_68	1	0	29	25	1	4	4	5	10	3	0	0
Gene_69	1	8	8	2	0	1	5	4	4	0	0	2
Gene_70	0	1	4	5	1	1	3	0	2	4	0	4
Gene_71	12	3	7	17	0	6	7	9	9	5	1	3
Gene_72	3	7	0	4	0	0	3	5	3	0	0	0
Gene_73	2	2	8	11	0	4	6	7	11	8	5	6
Gene_74	6	8	12	3	0	0	4	8	12	14	2	2
Gene_75	6	13	9	13	17	14	12	23	17	9	12	13
Gene_76	2	6	5	19	1	0	4	0	18	3	0	0
Gene_77	0	1	2	17	0	0	0	1	7	2	0	0
Gene_78	2	3	3	2	0	1	0	1	11	5	0	2
Gene_79	5	15	23	32	1	2	5	6	27	15	1	2
Gene_80	2	2	5	7	0	5	8	5	10	12	1	0
Gene_81	11	16	6	1	0	2	6	10	0	0	0	0
Gene_82	0	0	15	64	0	0	4	0	37	1	0	2
Gene_83	3	1	0	7	2	2	5	0	6	3	4	0
Gene_84	5	5	6	3	0	0	0	2	0	4	0	1
Gene_85	0	6	4	2	0	0	1	2	6	8	0	0
Gene_86	6	0	3	8	1	2	1	0	3	0	3	4
Gene_87	1	7	9	5	0	1	0	2	14	2	0	0
Gene_88	2	3	11	7	0	0	5	9	1	3	0	0
Gene_89	1	2	0	6	0	9	2	0	0	3	5	18
Gene_90	5	9	3	4	2	4	4	5	2	2	1	0
Gene_91	9	6	6	6	0	7	9	8	2	1	3	7
Gene_92	4	16	47	18	1	0	1	8	20	9	1	2
Gene_93	0	1	5	10	2	1	2	1	2	5	0	0
Gene_94	0	3	0	2	0	11	1	0	0	4	0	3
Gene_95	1	9	38	33	2	3	13	14	14	26	0	2
Gene_96	1	0	6	1	0	4	7	5	1	0	0	2
Gene_97	2	0	0	2	3	7	10	0	0	2	0	0
Gene_98	0	4	4	3	6	1	2	1	1	2	3	1
Gene_99	5	4	3	7	0	0	6	1	2	3	0	0
Gene_100	76	99	39	36	6	66	121	64	26	11	6	57
Gene_101	0	5	36	36	1	2	5	4	38	25	2	1
Gene_102	2	8	14	14	0	0	2	5	21	5	1	0
Gene_103	4	1	3	3	5	0	2	0	1	4	3	6
Gene_104	3	3	4	4	2	1	3	9	2	0	0	0
Gene_105	1	5	2	2	0	3	4	1	3	9	0	0
Gene_106	0	1	2	7	0	8	2	1	2	5	9	9
Gene_107	49	108	35	14	0	10	71	64	32	5	0	7
Gene_108	3	5	2	4	3	3	4	4	7	2	1	2
Gene_109	2	8	26	18	0	1	4	14	26	8	1	0
